name,description,price,imageUrl,categoryId,stockQuantity
Electronics Webcam 024,1080p autofocus webcam,59.00,https://loremflickr.com/600/400/webcam?lock=1024,1,140
Electronics Microphone 025,USB condenser mic,79.00,https://loremflickr.com/600/400/microphone?lock=1025,1,120
Electronics E‑reader 026,6" e‑ink, front light,119.00,https://loremflickr.com/600/400/ereader?lock=1026,1,110
Electronics Projector 027,1080p LED projector,229.00,https://loremflickr.com/600/400/projector?lock=1027,1,70
Electronics Soundbar 028,2.1ch soundbar with sub,199.00,https://loremflickr.com/600/400/soundbar?lock=1028,1,65
Electronics VR Headset 029,Immersive VR, inside‑out tracking,399.00,https://loremflickr.com/600/400/vr?lock=1029,1,50
Electronics Graphics Card 030,8GB GDDR6 GPU,349.00,https://loremflickr.com/600/400/gpu?lock=1030,1,30
Electronics Motherboard 031,ATX board, Wi‑Fi,179.00,https://loremflickr.com/600/400/motherboard?lock=1031,1,55
Electronics CPU Cooler 032,120mm RGB AIO,89.00,https://loremflickr.com/600/400/cooler?lock=1032,1,75
Electronics RAM Kit 033,16GB DDR4 3200,59.00,https://loremflickr.com/600/400/ram?lock=1033,1,140
Electronics USB Hub 034,7‑port USB 3.0 hub,29.00,https://loremflickr.com/600/400/usb?lock=1034,1,160
Electronics Ext HDD 035,2TB portable HDD,69.00,https://loremflickr.com/600/400/hdd?lock=1035,1,120
Electronics NAS 036,2‑bay NAS enclosure,199.00,https://loremflickr.com/600/400/nas?lock=1036,1,25
Electronics Action Cam 037,4K waterproof action cam,149.00,https://loremflickr.com/600/400/actioncamera?lock=1037,1,90
Electronics Tripod 038,Aluminum tripod, ball head,49.00,https://loremflickr.com/600/400/tripod?lock=1038,1,140
Electronics Gimbal 039,3‑axis smartphone gimbal,119.00,https://loremflickr.com/600/400/gimbal?lock=1039,1,80
Electronics Power Strip 040,6‑outlet surge protector,24.00,https://loremflickr.com/600/400/powerstrip?lock=1040,1,200
Electronics Cables Set 041,USB‑C/Lightning/Micro‑USB set,19.00,https://loremflickr.com/600/400/cable?lock=1041,1,260
Electronics Car Mount 042,MagSafe compatible car mount,29.00,https://loremflickr.com/600/400/carmount?lock=1042,1,180
Electronics Case 043,Shockproof phone case,19.00,https://loremflickr.com/600/400/phonecase?lock=1043,1,210
Electronics Screen Guard 044,Tempered glass 2‑pack,12.00,https://loremflickr.com/600/400/screenguard?lock=1044,1,300
Electronics Dock 045,USB‑C multiport dock,79.00,https://loremflickr.com/600/400/dock?lock=1045,1,70
Electronics Smart Plug 046,Wi‑Fi smart plug 2‑pack,24.00,https://loremflickr.com/600/400/smartplug?lock=1046,1,180
Electronics Smart Bulb 047,RGB smart bulb, voice control,14.00,https://loremflickr.com/600/400/smartbulb?lock=1047,1,220
Electronics Mesh Wi‑Fi 048,Mesh Wi‑Fi node,129.00,https://loremflickr.com/600/400/mesh?lock=1048,1,45
Electronics UPS 049,850VA UPS backup,99.00,https://loremflickr.com/600/400/ups?lock=1049,1,60
Electronics KVM Switch 050,2‑port HDMI KVM,89.00,https://loremflickr.com/600/400/kvm?lock=1050,1,35

Fashion Leather Jacket 001,Genuine leather biker jacket, slim fit,179.00,https://loremflickr.com/600/400/jacket?lock=2001,2,70
Fashion Sneakers 002,Breathable canvas sneakers, cushioned insole,64.99,https://loremflickr.com/600/400/sneakers?lock=2002,2,150
Fashion Sunglasses 003,Polarized aviator sunglasses,49.50,https://loremflickr.com/600/400/sunglasses?lock=2003,2,130
Fashion Dress 004,Summer floral midi dress,59.00,https://loremflickr.com/600/400/dress?lock=2004,2,95
Fashion T‑Shirt 005,100% cotton crew neck tee,14.99,https://loremflickr.com/600/400/tshirt?lock=2005,2,320
Fashion Jeans 006,Straight fit denim jeans,49.00,https://loremflickr.com/600/400/jeans?lock=2006,2,150
Fashion Hoodie 007,Soft fleece hoodie,39.50,https://loremflickr.com/600/400/hoodie?lock=2007,2,170
Fashion Coat 008,Wool blend overcoat,149.00,https://loremflickr.com/600/400/coat?lock=2008,2,60
Fashion Skirt 009,High‑waist pleated skirt,39.00,https://loremflickr.com/600/400/skirt?lock=2009,2,110
Fashion Heels 010,Classic pointed heels,69.00,https://loremflickr.com/600/400/heels?lock=2010,2,90
Fashion Boots 011,Leather ankle boots,89.00,https://loremflickr.com/600/400/boots?lock=2011,2,80
Fashion Sandals 012,Flat sandals with straps,24.99,https://loremflickr.com/600/400/sandals?lock=2012,2,140
Fashion Watch 013,Minimal steel watch,99.00,https://loremflickr.com/600/400/watch?lock=2013,2,75
Fashion Bag 014,Leather crossbody bag,89.00,https://loremflickr.com/600/400/handbag?lock=2014,2,85
Fashion Backpack 015,Canvas city backpack,49.00,https://loremflickr.com/600/400/backpack?lock=2015,2,120
Fashion Belt 016,Full‑grain leather belt,29.00,https://loremflickr.com/600/400/belt?lock=2016,2,160
Fashion Hat 017,Wool fedora hat,39.00,https://loremflickr.com/600/400/hat?lock=2017,2,70
Fashion Scarf 018,Cashmere blend scarf,34.00,https://loremflickr.com/600/400/scarf?lock=2018,2,100
Fashion Gloves 019,Leather gloves, fleece lined,29.00,https://loremflickr.com/600/400/gloves?lock=2019,2,90
Fashion Beanie 020,Knit beanie, ribbed cuff,19.00,https://loremflickr.com/600/400/beanie?lock=2020,2,140
Fashion Suit 021,Two‑piece tailored suit,199.00,https://loremflickr.com/600/400/suit?lock=2021,2,40
Fashion Blazer 022,Single‑breasted blazer,99.00,https://loremflickr.com/600/400/blazer?lock=2022,2,65
Fashion Shirt 023,Oxford cotton shirt,39.00,https://loremflickr.com/600/400/shirt?lock=2023,2,180
Fashion Polo 024,Classic pique polo,29.00,https://loremflickr.com/600/400/polo?lock=2024,2,190
Fashion Chinos 025,Slim fit chinos,44.00,https://loremflickr.com/600/400/chinos?lock=2025,2,130
Fashion Cardigan 026,Knit cardigan, buttons,49.00,https://loremflickr.com/600/400/cardigan?lock=2026,2,75
Fashion Sweater 027,Wool crew sweater,59.00,https://loremflickr.com/600/400/sweater?lock=2027,2,95
Fashion Tracksuit 028,Zip hoodie + joggers set,79.00,https://loremflickr.com/600/400/tracksuit?lock=2028,2,85
Fashion Sports Bra 029,Medium support sports bra,24.00,https://loremflickr.com/600/400/sportsbra?lock=2029,2,110
Fashion Leggings 030,High‑waist leggings,29.00,https://loremflickr.com/600/400/leggings?lock=2030,2,170
Fashion Shorts 031,Cotton chino shorts,24.00,https://loremflickr.com/600/400/shorts?lock=2031,2,140
Fashion Swimwear 032,One‑piece swimsuit,39.00,https://loremflickr.com/600/400/swimsuit?lock=2032,2,90
Fashion Trench 033,Classic trench coat,129.00,https://loremflickr.com/600/400/trenchcoat?lock=2033,2,50
Fashion Loafers 034,Leather loafers,79.00,https://loremflickr.com/600/400/loafers?lock=2034,2,70
Fashion Flats 035,Ballet flats, round toe,29.00,https://loremflickr.com/600/400/flats?lock=2035,2,120
Fashion Running Shoes 036,Cushioned road runners,79.00,https://loremflickr.com/600/400/runningshoes?lock=2036,2,160
Fashion Hiking Boots 037,Waterproof hiking boots,99.00,https://loremflickr.com/600/400/hikingboots?lock=2037,2,60
Fashion Slippers 038,Memory foam slippers,19.00,https://loremflickr.com/600/400/slippers?lock=2038,2,140
Fashion Nightwear 039,Cotton pajama set,29.00,https://loremflickr.com/600/400/pajamas?lock=2039,2,130
Fashion Socks 040,Ankle socks 6‑pack,12.00,https://loremflickr.com/600/400/socks?lock=2040,2,260
Fashion Tie 041,Silk tie, classic width,19.00,https://loremflickr.com/600/400/tie?lock=2041,2,150
Fashion Wallet 042,Leather bifold wallet,39.00,https://loremflickr.com/600/400/wallet?lock=2042,2,120
Fashion Necklace 043,Minimal pendant necklace,29.00,https://loremflickr.com/600/400/necklace?lock=2043,2,110
Fashion Bracelet 044,Stainless link bracelet,24.00,https://loremflickr.com/600/400/bracelet?lock=2044,2,140
Fashion Earrings 045,Hoop earrings, gold tone,19.00,https://loremflickr.com/600/400/earrings?lock=2045,2,150
Fashion Cap 046,Cotton baseball cap,15.00,https://loremflickr.com/600/400/cap?lock=2046,2,180
Fashion Sunglasses 047,Wayfarer sunglasses,45.00,https://loremflickr.com/600/400/sunglasses?lock=2047,2,130
Fashion Backpack 048,Travel backpack 28L,69.00,https://loremflickr.com/600/400/backpack?lock=2048,2,80
Fashion Duffel 049,Weekend duffel bag,59.00,https://loremflickr.com/600/400/duffelbag?lock=2049,2,70
Fashion Watch 050,Chronograph steel watch,129.00,https://loremflickr.com/600/400/watch?lock=2050,2,65

Home & Kitchen Blender 001,1500W high‑speed blender, 1.8L,92.00,https://loremflickr.com/600/400/blender?lock=3001,3,90
Home & Kitchen Cookware 002,10‑piece stainless cookware,139.99,https://loremflickr.com/600/400/cookware?lock=3002,3,80
Home & Kitchen Air Fryer 003,4.5L digital air fryer,99.00,https://loremflickr.com/600/400/airfryer?lock=3003,3,95
Home & Kitchen Coffee Maker 004,12‑cup programmable,79.00,https://loremflickr.com/600/400/coffeemaker?lock=3004,3,120
Home & Kitchen Kettle 005,1.7L electric kettle,34.00,https://loremflickr.com/600/400/kettle?lock=3005,3,160
Home & Kitchen Toaster 006,4‑slice toaster,29.00,https://loremflickr.com/600/400/toaster?lock=3006,3,140
Home & Kitchen Mixer 007,Stand mixer 5L bowl,159.00,https://loremflickr.com/600/400/mixer?lock=3007,3,70
Home & Kitchen Knife Set 008,Chef knife set 6‑pc,49.00,https://loremflickr.com/600/400/knives?lock=3008,3,130
Home & Kitchen Cutting Board 009,Bamboo cutting board,19.00,https://loremflickr.com/600/400/cuttingboard?lock=3009,3,190
Home & Kitchen Pressure Cooker 010,6L electric cooker,89.00,https://loremflickr.com/600/400/pressurecooker?lock=3010,3,85
Home & Kitchen Food Processor 011,800W food processor,99.00,https://loremflickr.com/600/400/foodprocessor?lock=3011,3,75
Home & Kitchen Juicer 012,Slow juicer, anti‑drip,119.00,https://loremflickr.com/600/400/juicer?lock=3012,3,65
Home & Kitchen Rice Cooker 013,5‑cup rice cooker,39.00,https://loremflickr.com/600/400/ricecooker?lock=3013,3,150
Home & Kitchen Grill 014,Electric grill, non‑stick,59.00,https://loremflickr.com/600/400/grill?lock=3014,3,110
Home & Kitchen Pan Set 015,Non‑stick pan set,79.00,https://loremflickr.com/600/400/pan?lock=3015,3,100
Home & Kitchen Cast Iron 016,Cast iron skillet,12",49.00,https://loremflickr.com/600/400/skillet?lock=3016,3,90
Home & Kitchen Dutch Oven 017,5.5qt enamel Dutch oven,79.00,https://loremflickr.com/600/400/dutchoven?lock=3017,3,80
Home & Kitchen Baking Set 018,Sheet pans + racks,39.00,https://loremflickr.com/600/400/baking?lock=3018,3,120
Home & Kitchen Measuring Set 019,Cups & spoons set,14.00,https://loremflickr.com/600/400/measuring?lock=3019,3,160
Home & Kitchen Storage Jars 020,Glass jars set,24.00,https://loremflickr.com/600/400/jars?lock=3020,3,140
Home & Kitchen Dish Rack 021,Stainless dish drying rack,34.00,https://loremflickr.com/600/400/dishrack?lock=3021,3,110
Home & Kitchen Trash Can 022,Step trash can 30L,49.00,https://loremflickr.com/600/400/trashcan?lock=3022,3,70
Home & Kitchen Water Filter 023,Pitcher water filter,29.00,https://loremflickr.com/600/400/waterfilter?lock=3023,3,150
Home & Kitchen Lunch Box 024,Insulated lunch bag,19.00,https://loremflickr.com/600/400/lunchbox?lock=3024,3,160
Home & Kitchen Thermos 025,Vacuum flask 1L,24.00,https://loremflickr.com/600/400/thermos?lock=3025,3,140
Home & Kitchen Napkins 026,Cotton kitchen napkins,12.00,https://loremflickr.com/600/400/napkin?lock=3026,3,190
Home & Kitchen Apron 027,Cotton apron, adjustable,14.00,https://loremflickr.com/600/400/apron?lock=3027,3,180
Home & Kitchen Oven Mitts 028,Heat‑resistant mitts,12.00,https://loremflickr.com/600/400/mitts?lock=3028,3,170
Home & Kitchen Spice Rack 029,Rotating spice rack,29.00,https://loremflickr.com/600/400/spicerack?lock=3029,3,100
Home & Kitchen Oil Dispenser 030,Glass oil dispenser,12.00,https://loremflickr.com/600/400/oil?lock=3030,3,150
Home & Kitchen Salad Spinner 031,Large salad spinner,24.00,https://loremflickr.com/600/400/salad?lock=3031,3,120
Home & Kitchen Peeler Set 032,3‑pc vegetable peelers,9.00,https://loremflickr.com/600/400/peeler?lock=3032,3,220
Home & Kitchen Kitchen Scale 033,Digital gram scale,19.00,https://loremflickr.com/600/400/scale?lock=3033,3,130
Home & Kitchen Colander 034,Stainless steel colander,12.00,https://loremflickr.com/600/400/colander?lock=3034,3,180
Home & Kitchen Utensil Set 035,Silicone utensils 11‑pc,29.00,https://loremflickr.com/600/400/utensils?lock=3035,3,160
Home & Kitchen Ice Tray 036,Silicone ice cube tray,7.00,https://loremflickr.com/600/400/icetray?lock=3036,3,260
Home & Kitchen Mug Set 037,Ceramic mugs 6‑pc,19.00,https://loremflickr.com/600/400/mug?lock=3037,3,170
Home & Kitchen Glass Set 038,Drinking glasses 12‑pc,24.00,https://loremflickr.com/600/400/glass?lock=3038,3,150
Home & Kitchen Plate Set 039,Porcelain plates 16‑pc,39.00,https://loremflickr.com/600/400/plates?lock=3039,3,130
Home & Kitchen Bowl Set 040,Cereal bowls 6‑pc,18.00,https://loremflickr.com/600/400/bowl?lock=3040,3,180
Home & Kitchen Cutlery Set 041,24‑pc stainless cutlery,29.00,https://loremflickr.com/600/400/cutlery?lock=3041,3,160
Home & Kitchen Teapot 042,Glass teapot infuser,19.00,https://loremflickr.com/600/400/teapot?lock=3042,3,120
Home & Kitchen Spice Jars 043,Spice jars with labels,21.00,https://loremflickr.com/600/400/spice?lock=3043,3,150
Home & Kitchen Kitchen Towels 044,Absorbent towels 6‑pc,16.00,https://loremflickr.com/600/400/towel?lock=3044,3,200
Home & Kitchen Dish Soap 045,Lemon dish soap 1L,6.00,https://loremflickr.com/600/400/soap?lock=3045,3,240
Home & Kitchen Sponge Pack 046,Non‑scratch sponges 12‑pc,7.00,https://loremflickr.com/600/400/sponge?lock=3046,3,220
Home & Kitchen Foil & Wrap 047,Aluminum foil + wrap set,9.00,https://loremflickr.com/600/400/foil?lock=3047,3,200
Home & Kitchen Storage Bins 048,Pantry storage bins 4‑pc,24.00,https://loremflickr.com/600/400/storage?lock=3048,3,140
Home & Kitchen Vacuum Sealer 049,Food vacuum sealer,69.00,https://loremflickr.com/600/400/vacuum?lock=3049,3,60
Home & Kitchen Water Bottle 050,Insulated bottle 1L,19.00,https://loremflickr.com/600/400/bottle?lock=3050,3,180

Books Programming 001,Modern Java for Beginners to Advanced,44.00,https://loremflickr.com/600/400/book?lock=4001,4,140
Books Classics 002,Timeless literature anthology,39.99,https://loremflickr.com/600/400/book?lock=4002,4,200
Books Cookbook 003,Quick family recipes collection,24.50,https://loremflickr.com/600/400/cookbook?lock=4003,4,160
Books Mystery 004,Suspenseful detective novel,19.00,https://loremflickr.com/600/400/mystery?lock=4004,4,180
Books Sci‑Fi 005,Space opera adventure,21.00,https://loremflickr.com/600/400/scifi?lock=4005,4,170
Books Fantasy 006,Dragons and magic saga,22.00,https://loremflickr.com/600/400/fantasy?lock=4006,4,160
Books Thriller 007,Edge‑of‑seat thriller,20.00,https://loremflickr.com/600/400/thriller?lock=4007,4,150
Books Romance 008,Heartwarming love story,18.00,https://loremflickr.com/600/400/romance?lock=4008,4,190
Books Biography 009,Inspiring life journey,23.00,https://loremflickr.com/600/400/biography?lock=4009,4,140
Books History 010,World history compendium,27.00,https://loremflickr.com/600/400/history?lock=4010,4,120
Books Self‑Help 011,Habits and productivity,19.00,https://loremflickr.com/600/400/selfhelp?lock=4011,4,200
Books Business 012,Entrepreneurship and strategy,24.00,https://loremflickr.com/600/400/business?lock=4012,4,180
Books Finance 013,Personal finance guide,22.00,https://loremflickr.com/600/400/finance?lock=4013,4,170
Books Marketing 014,Digital marketing playbook,24.00,https://loremflickr.com/600/400/marketing?lock=4014,4,160
Books Leadership 015,Principles of leadership,23.00,https://loremflickr.com/600/400/leadership?lock=4015,4,150
Books Psychology 016,Human behavior insights,22.00,https://loremflickr.com/600/400/psychology?lock=4016,4,170
Books Philosophy 017,Ancient to modern thought,21.00,https://loremflickr.com/600/400/philosophy?lock=4017,4,140
Books Art 018,Art history and techniques,26.00,https://loremflickr.com/600/400/art?lock=4018,4,120
Books Photography 019,Composition and lighting,25.00,https://loremflickr.com/600/400/photography?lock=4019,4,130
Books Travel 020,Destinations and guides,24.00,https://loremflickr.com/600/400/travel?lock=4020,4,160
Books Health 021,Wellness and nutrition,23.00,https://loremflickr.com/600/400/health?lock=4021,4,180
Books Fitness 022,Workout plans and recovery,22.00,https://loremflickr.com/600/400/fitness?lock=4022,4,170
Books Cooking 023,International cuisines,24.00,https://loremflickr.com/600/400/cooking?lock=4023,4,160
Books Gardening 024,Urban gardening basics,21.00,https://loremflickr.com/600/400/gardening?lock=4024,4,150
Books DIY 025,Home improvement guide,23.00,https://loremflickr.com/600/400/diy?lock=4025,4,140
Books Parenting 026,Positive parenting,20.00,https://loremflickr.com/600/400/parenting?lock=4026,4,150
Books Education 027,Learning techniques,22.00,https://loremflickr.com/600/400/education?lock=4027,4,160
Books Language 028,Learn Spanish basics,21.00,https://loremflickr.com/600/400/language?lock=4028,4,150
Books Programming 029,Python from zero to hero,44.00,https://loremflickr.com/600/400/programming?lock=4029,4,140
Books Cloud 030,Cloud computing fundamentals,29.00,https://loremflickr.com/600/400/cloud?lock=4030,4,150
Books AI 031,Machine learning guide,34.00,https://loremflickr.com/600/400/ai?lock=4031,4,160
Books Data 032,Data science handbook,36.00,https://loremflickr.com/600/400/data?lock=4032,4,150
Books Blockchain 033,Blockchain essentials,32.00,https://loremflickr.com/600/400/blockchain?lock=4033,4,140
Books UX 034,Design principles and patterns,28.00,https://loremflickr.com/600/400/design?lock=4034,4,150
Books Math 035,Discrete mathematics essentials,27.00,https://loremflickr.com/600/400/math?lock=4035,4,140
Books Physics 036,Physics for curious minds,26.00,https://loremflickr.com/600/400/physics?lock=4036,4,140
Books Chemistry 037,Everyday chemistry,24.00,https://loremflickr.com/600/400/chemistry?lock=4037,4,150
Books Biology 038,Life sciences overview,24.00,https://loremflickr.com/600/400/biology?lock=4038,4,150
Books Astronomy 039,Stargazing and cosmos,25.00,https://loremflickr.com/600/400/astronomy?lock=4039,4,140
Books Medicine 040,Introduction to medicine,35.00,https://loremflickr.com/600/400/medicine?lock=4040,4,120
Books Nursing 041,Clinical skills handbook,33.00,https://loremflickr.com/600/400/nursing?lock=4041,4,120
Books Law 042,Law basics and cases,31.00,https://loremflickr.com/600/400/law?lock=4042,4,130
Books Politics 043,Governance and policy,29.00,https://loremflickr.com/600/400/politics?lock=4043,4,140
Books Economics 044,Micro and macro economics,30.00,https://loremflickr.com/600/400/economics?lock=4044,4,120
Books Sociology 045,Society and culture,28.00,https://loremflickr.com/600/400/sociology?lock=4045,4,130
Books Anthropology 046,Human origins and cultures,28.00,https://loremflickr.com/600/400/anthropology?lock=4046,4,120
Books Religion 047,World religions overview,27.00,https://loremflickr.com/600/400/religion?lock=4047,4,110
Books Poetry 048,Modern poems collection,22.00,https://loremflickr.com/600/400/poetry?lock=4048,4,150
Books Drama 049,Plays and performances,23.00,https://loremflickr.com/600/400/drama?lock=4049,4,120
Books Essays 050,Selected essays anthology,24.00,https://loremflickr.com/600/400/essay?lock=4050,4,140

Sports & Outdoors Bike 001,Trail mountain bike 27.5",489.00,https://loremflickr.com/600/400/mountainbike?lock=5001,5,28
Sports & Outdoors Tent 002,Camping tent 4‑person,139.00,https://loremflickr.com/600/400/tent?lock=5002,5,60
Sports & Outdoors Yoga Mat 003,Pro yoga mat 6mm,29.99,https://loremflickr.com/600/400/yoga?lock=5003,5,180
Sports & Outdoors Backpack 004,Hiking backpack 40L,59.00,https://loremflickr.com/600/400/hiking?lock=5004,5,90
Sports & Outdoors Water Bottle 005,Insulated stainless bottle,19.00,https://loremflickr.com/600/400/bottle?lock=5005,5,160
Sports & Outdoors Trekking Poles 006,Lightweight trekking poles,34.00,https://loremflickr.com/600/400/trekking?lock=5006,5,110
Sports & Outdoors Kayak 007,Inflatable kayak 1‑person,199.00,https://loremflickr.com/600/400/kayak?lock=5007,5,35
Sports & Outdoors Paddle 008,Kayak paddle adjustable,39.00,https://loremflickr.com/600/400/paddle?lock=5008,5,140
Sports & Outdoors Sleeping Bag 009,3‑season sleeping bag,49.00,https://loremflickr.com/600/400/sleepingbag?lock=5009,5,120
Sports & Outdoors Stove 010,Portable camping stove,29.00,https://loremflickr.com/600/400/stove?lock=5010,5,100
Sports & Outdoors Lantern 011,Rechargeable camp lantern,24.00,https://loremflickr.com/600/400/lantern?lock=5011,5,130
Sports & Outdoors Headlamp 012,LED headlamp USB‑C,19.00,https://loremflickr.com/600/400/headlamp?lock=5012,5,180
Sports & Outdoors Hammock 013,Parachute nylon hammock,29.00,https://loremflickr.com/600/400/hammock?lock=5013,5,110
Sports & Outdoors Cooler 014,Insulated cooler 28qt,39.00,https://loremflickr.com/600/400/cooler?lock=5014,5,90
Sports & Outdoors Binoculars 015,10x50 binoculars,59.00,https://loremflickr.com/600/400/binoculars?lock=5015,5,75
Sports & Outdoors Compass 016,Liquid‑filled compass,12.00,https://loremflickr.com/600/400/compass?lock=5016,5,140
Sports & Outdoors GPS Watch 017,Outdoor GPS smartwatch,199.00,https://loremflickr.com/600/400/gps?lock=5017,5,45
Sports & Outdoors Multi‑tool 018,Stainless multi‑tool,29.00,https://loremflickr.com/600/400/multitool?lock=5018,5,130
Sports & Outdoors First Aid 019,Compact first aid kit,19.00,https://loremflickr.com/600/400/firstaid?lock=5019,5,170
Sports & Outdoors Chair 020,Folding camp chair,24.00,https://loremflickr.com/600/400/chair?lock=5020,5,160
Sports & Outdoors Table 021,Portable folding table,29.00,https://loremflickr.com/600/400/table?lock=5021,5,100
Sports & Outdoors Grill 022,Portable charcoal grill,34.00,https://loremflickr.com/600/400/grill?lock=5022,5,90
Sports & Outdoors Fishing Rod 023,Telescopic fishing rod,39.00,https://loremflickr.com/600/400/fishing?lock=5023,5,80
Sports & Outdoors Tackle Box 024,Waterproof tackle box,19.00,https://loremflickr.com/600/400/tackle?lock=5024,5,120
Sports & Outdoors Helmet 025,Multi‑sport helmet,29.00,https://loremflickr.com/600/400/helmet?lock=5025,5,110
Sports & Outdoors Gloves 026,Outdoor gloves, touch tips,19.00,https://loremflickr.com/600/400/gloves?lock=5026,5,150
Sports & Outdoors Socks 027,Merino hiking socks,14.00,https://loremflickr.com/600/400/socks?lock=5027,5,160
Sports & Outdoors Hat 028,Sun hat UPF50+,19.00,https://loremflickr.com/600/400/hat?lock=5028,5,140
Sports & Outdoors Boots 029,Waterproof hiking boots,99.00,https://loremflickr.com/600/400/boots?lock=5029,5,60
Sports & Outdoors Jacket 030,Windproof softshell jacket,79.00,https://loremflickr.com/600/400/jacket?lock=5030,5,70
Sports & Outdoors Pants 031,Quick‑dry hiking pants,49.00,https://loremflickr.com/600/400/pants?lock=5031,5,120
Sports & Outdoors Shorts 032,Trail running shorts,29.00,https://loremflickr.com/600/400/shorts?lock=5032,5,140
Sports & Outdoors Shirt 033,Moisture‑wicking tee,19.00,https://loremflickr.com/600/400/tshirt?lock=5033,5,180
Sports & Outdoors Fleece 034,Light fleece jacket,39.00,https://loremflickr.com/600/400/fleece?lock=5034,5,110
Sports & Outdoors Raincoat 035,Packable rain jacket,49.00,https://loremflickr.com/600/400/raincoat?lock=5035,5,90
Sports & Outdoors Gaiters 036,Waterproof boot gaiters,24.00,https://loremflickr.com/600/400/gaiters?lock=5036,5,100
Sports & Outdoors Stove Fuel 037,Isobutane fuel canister,6.00,https://loremflickr.com/600/400/fuel?lock=5037,5,300
Sports & Outdoors Fire Starter 038,Magnesium fire starter,9.00,https://loremflickr.com/600/400/fire?lock=5038,5,200
Sports & Outdoors Dry Bag 039,10L waterproof dry bag,14.00,https://loremflickr.com/600/400/drybag?lock=5039,5,180
Sports & Outdoors Rope 040,Paracord 50ft,9.00,https://loremflickr.com/600/400/rope?lock=5040,5,260
Sports & Outdoors Carabiner 041,Aluminum carabiners 6‑pc,8.00,https://loremflickr.com/600/400/carabiner?lock=5041,5,240
Sports & Outdoors Whistle 042,Emergency whistle,5.00,https://loremflickr.com/600/400/whistle?lock=5042,5,320
Sports & Outdoors Map Case 043,Waterproof map case,12.00,https://loremflickr.com/600/400/map?lock=5043,5,160
Sports & Outdoors Repair Kit 044,Mat/tent repair kit,9.00,https://loremflickr.com/600/400/repair?lock=5044,5,220
Sports & Outdoors Snowshoes 045,Aluminum snowshoes,89.00,https://loremflickr.com/600/400/snow?lock=5045,5,40
Sports & Outdoors Skis 046,All‑mountain skis,299.00,https://loremflickr.com/600/400/ski?lock=5046,5,25
Sports & Outdoors Poles 047,Ski poles adjustable,29.00,https://loremflickr.com/600/400/poles?lock=5047,5,120
Sports & Outdoors Goggles 048,Anti‑fog ski goggles,39.00,https://loremflickr.com/600/400/goggles?lock=5048,5,140
Sports & Outdoors Sled 049,Plastic snow sled,19.00,https://loremflickr.com/600/400/sled?lock=5049,5,170
